id_no,binomial,presence,origin,seasonal,compiler,year,citation,source,dist_comm,island,subspecies,subpop,legend,tax_comm,kingdom_na,phylum_nam,class_name,order_name,family_nam,genus_name,code,shape_Leng,shape_Area
17320,Pipistrellus abramus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Kyushu,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,26.49071036,3.550979335
17320,Pipistrellus abramus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Okinawa,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,3.560598644,0.109056985
17320,Pipistrellus abramus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Shikoku,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,14.58707043,1.791474755
17320,Pipistrellus abramus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Tsushima,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,2.429592087,0.044171175
17320,Pipistrellus abramus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Yakushima,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,0.856356733,0.046220725
17320,Pipistrellus abramus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Yonaguni,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,0.239958854,0.002657685
17321,Pipistrellus adamsi,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,84.24243729,23.15465575
17320,Pipistrellus abramus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Taiwan,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,10.30622459,3.17997961
17320,Pipistrellus abramus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Takarajima,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,0.103486653,0.000518595
17321,Pipistrellus adamsi,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Prince of Wales,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,0.622068195,0.01670347
17323,Pipistrellus aero,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,DD,1.695176436,0.076224713
18722,Pteropus dasymallus,1,4,5,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Yakushima,,,Not Mapped,,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Pteropus,NT,0.856192921,0.046220595
17323,Pipistrellus aero,2,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,Questionable locality. If this specimen is from BMNH then it is kuhlii from Jacobs & Taylor,,,,Probably Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,DD,0.565058812,0.025408238
17324,Falsistrellus affinis,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Falsistrellus,LC,80.47781125,31.50373896
17326,Pipistrellus angulatus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Biak-Supiori,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,3.653137853,0.20508788
17326,Pipistrellus angulatus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Bougainville,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,5.483919325,0.708725095
17326,Pipistrellus angulatus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Duke of York,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,0.358415029,0.004102455
17326,Pipistrellus angulatus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Emirau,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,0.342353622,0.00252324
17326,Pipistrellus angulatus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Fauro,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,0.751765676,0.00562253
17326,Pipistrellus angulatus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Misima,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,0.869865262,0.017577075
17326,Pipistrellus angulatus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Guadalcanal,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,3.590023122,0.449812765
17326,Pipistrellus angulatus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Karkar,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,0.710844127,0.033034695
17326,Pipistrellus angulatus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Manus,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,LC,2.928953604,0.148748255
